name,outer_diameter_m,core_diameter_m,core_density_kg_m3,core_specific_heat_J_kg_K,shell_density_kg_m3,shell_specific_heat_J_kg_K,effective_emissivity,linearization_temperature_K,parasitic_conductance_W_K,outer_area_m2,core_volume_m3,shell_volume_m3,core_mass_kg,shell_mass_kg,total_mass_kg,thermal_capacity_J_K,radiative_conductance_W_K,total_conductance_W_K
low_emissivity_no_parasitic,0.01,0.008,1800.0,900.0,1200.0,1000.0,0.05,270.0,0.0,0.0003141592653589793,2.68082573106329e-07,2.555162024919699e-07,0.0004825486315913922,0.0003066194429903639,0.0007891680745817562,0.7409132114226169,7.01266184517649e-05,7.01266184517649e-05
baseline_surface,0.01,0.008,1800.0,900.0,1200.0,1000.0,0.2,270.0,0.0002,0.0003141592653589793,2.68082573106329e-07,2.555162024919699e-07,0.0004825486315913922,0.0003066194429903639,0.0007891680745817562,0.7409132114226169,0.0002805064738070596,0.00048050647380705957
high_emissivity_high_parasitic,0.01,0.008,1800.0,900.0,1200.0,1000.0,0.8,270.0,0.001,0.0003141592653589793,2.68082573106329e-07,2.555162024919699e-07,0.0004825486315913922,0.0003066194429903639,0.0007891680745817562,0.7409132114226169,0.0011220258952282383,0.0021220258952282384
