active_duty_cycle,pass_count,fail_count,pass_rate,pass_rate_10_mm,pass_rate_20_mm,pass_rate_30_mm
0.0,1266,30,0.9768518518518519,0.9305555555555556,1.0,1.0
0.01,1240,56,0.9567901234567902,0.8726851851851852,0.9976851851851852,1.0
0.05,1177,119,0.908179012345679,0.7777777777777778,0.9537037037037037,0.9930555555555556
0.1,1134,162,0.875,0.7245370370370371,0.9236111111111112,0.9768518518518519
1.0,884,412,0.6820987654320988,0.4513888888888889,0.7430555555555556,0.8518518518518519
